step,joint_pos,eef_pos,reward,done
100,"[-0.25101334586922097, 0.6272797319462606, 0.09898110497799971, -2.6896922110375865, -2.5171822601610248, 2.436612076940359, 2.3407807193748176]","[-0.2836865121723895, -0.06269423726885617, 0.8411062673287432]",0.0,False
101,"[-0.23341292449583886, 0.6303045447062245, 0.10527159491887303, -2.7043312602378227, -2.526683268387059, 2.4583532641624717, 2.313675079834979]","[-0.2954256590597964, -0.04972188154833482, 0.8395402767771261]",0.0,False
102,"[-0.2208146701243038, 0.6216124863327893, 0.09746810488459862, -2.7155527646690976, -2.474414753040882, 2.4603343821460824, 2.2894216828345098]","[-0.3016013034438444, -0.05071690592914482, 0.8415290420633149]",0.0,False
103,"[-0.21185765087668815, 0.6151775171100502, 0.1016586988180532, -2.728544673336123, -2.378600950914379, 2.432386471442616, 2.269855931910198]","[-0.30633984280408333, -0.05495478671020473, 0.844319701981124]",0.0,False
104,"[-0.20370803047600128, 0.6134773766434752, 0.1319461750463444, -2.714317023205842, -2.333388018026842, 2.388743581080515, 2.2783672996322606]","[-0.2912914762009816, -0.050338952548345535, 0.8466772552999998]",0.0,False
105,"[-0.19511405305447627, 0.6400859201477614, 0.16102178481547755, -2.6869084072429668, -2.3296680832742505, 2.352807364776695, 2.3088941209778016]","[-0.276858589246375, -0.04034447008156356, 0.8420339528978006]",0.0,False
106,"[-0.18540744202259654, 0.6672418074876203, 0.19878971390955716, -2.6589858732127727, -2.366785418217869, 2.317413517972117, 2.3661755969939713]","[-0.2606027332189742, -0.022234869863104675, 0.8367169881813175]",0.0,False
107,"[-0.1773415306209937, 0.6928548953496959, 0.227470851853853, -2.67131251231041, -2.3941872064086587, 2.2770495738865715, 2.426446495317428]","[-0.26691157775048047, -0.007684386517254088, 0.8314601617107983]",0.0,False
108,"[-0.16627245592517237, 0.7040239314630257, 0.2391357115480472, -2.7104089361037262, -2.3863251548262805, 2.23227264893521, 2.461958224035449]","[-0.28764689996588905, -0.0046274052977330615, 0.8295942295332842]",0.0,False
109,"[-0.15469628163480564, 0.7159954062233405, 0.2648270784280718, -2.7475362885964234, -2.3619415248065376, 2.1866079560873373, 2.4971277312561]","[-0.30796866858622257, 0.0016286430375312688, 0.829788426493078]",0.0,False
110,"[-0.1454619836136309, 0.7147010804064285, 0.29661454130128856, -2.7462430533285036, -2.3907921256098805, 2.1434252172155004, 2.5506014328852187]","[-0.29705381480139353, 0.01558907163104007, 0.8327528382981639]",0.0,False
111,"[-0.1384465049380852, 0.7198955486321216, 0.3021526102741924, -2.7602013166540464, -2.410839775804202, 2.1104893020207265, 2.5918590212015364]","[-0.29957104313706445, 0.018235565397158017, 0.8334797551518419]",0.0,False
112,"[-0.12804973163766614, 0.7135068953343944, 0.29699028571251535, -2.7559296039123247, -2.4128192240259185, 2.1051396484264133, 2.5930679810188413]","[-0.29395452014585494, 0.018142104562892926, 0.835201397384105]",0.0,False
113,"[-0.1172709076697796, 0.7159907638048707, 0.2906820361095412, -2.7514443413666068, -2.4355912205649584, 2.0995601838480127, 2.593955481149926]","[-0.2897556297263975, 0.020157014840452646, 0.8345982390518915]",0.0,False
114,"[-0.11404701469469342, 0.7134786814974535, 0.28237646647976683, -2.752804736618736, -2.446022639055913, 2.10746725867727, 2.61607922392758]","[-0.29031928844518484, 0.019127034614768147, 0.8344682734087533]",0.0,False
115,"[-0.1039883381343527, 0.712027002374508, 0.27265042667997486, -2.7513716520984057, -2.4440711356161224, 2.1164557736279965, 2.6317345263702556]","[-0.29108130609471883, 0.017921692901206744, 0.8340139185772472]",0.0,False
116,"[-0.08741289292341342, 0.70785143482217, 0.2634943547898837, -2.750904572220981, -2.4796442360971396, 2.1203360293905367, 2.617392198704909]","[-0.28808138240415315, 0.02204902206452894, 0.8343881250855755]",0.0,False
117,"[-0.07942938400868768, 0.6969667075296808, 0.2523134431057879, -2.754606494971842, -2.501178523209129, 2.1373505597341005, 2.6155349034528053]","[-0.2876785801980086, 0.02277914733369682, 0.8357621497896883]",0.0,False
118,"[-0.07546350498749188, 0.6909560308775818, 0.24219967737594744, -2.75511489220834, -2.488295921711164, 2.1626621569430173, 2.6267249693072907]","[-0.2911838160896969, 0.020004098712763083, 0.8358924710401847]",0.0,False
119,"[-0.07215147421130409, 0.6749975491698146, 0.24077589170296354, -2.7615092116328865, -2.4431286533369065, 2.174167248561992, 2.644896056493627]","[-0.29346747646615917, 0.016025014437453966, 0.8393880609249545]",0.0,False
